141,Nokia 150 (Dual SIM_ White),   1_950.00,https://www.amazon.in/Nokia-150-Dual-SIM-White/dp/B06XQHBLD9
142,Nokia 105 SS (Black),   1_089.00,https://www.amazon.in/Nokia-SS-105-Black/dp/B018CGODWO
143,SENIOR WORLD New easyfone Range Launched-India's Most Senior Citizen Friendly Phones_ with Superb Sound Quality & 20+ Senior Friendly Features,   3_250.00,https://www.amazon.in/SENIOR-WORLD-easyfone-Launched-Indias-Friendly/dp/B078YQFXFR
144,OPPO A3s (Dark Purple_ 3GB RAM_ 32GB) with Offers,   12_990.00,https://www.amazon.in/OPPO-A3s-Dark-Purple-Offers/dp/B07G42XGXW
145,IKALL K3310 Dual Sim Mobile With Money Detector Light (Red),   498.00,https://www.amazon.in/IKALL-K3310-Mobile-Money-Detector/dp/B071YFG5S1
146,Apple iPhone SE (Space Grey_ 32GB),   19_643.00,https://www.amazon.in/Apple-iPhone-SE-Space-Grey/dp/B071DF166C
147,Apple iPhone 6S (Space Grey_ 32GB),   31_700.00,https://www.amazon.in/Apple-iPhone-6S-Space-Grey/dp/B01LX3A7CC
148,Nokia 6.1 (2018) (3GB + 32GB_ Black-Copper),   14_060.00,https://www.amazon.in/Nokia-6-1-3GB-32GB-Black-Copper/dp/B07DC8GFCD
149,Micromax Canvas Spark 3,   3_985.00,https://www.amazon.in/Micromax-Canvas-Spark-3/dp/B01MXHBVHA
150,Lenovo K8 Plus (Fine Gold),   8_130.00,https://www.amazon.in/Lenovo-K8-Plus-Fine-Gold/dp/B07BH2N15X
151,Samsung Galaxy J2 2017 (Black_ 8GB),   5_965.00,https://www.amazon.in/Samsung-Galaxy-J2-2017-Black/dp/B078WSRJ2D
152,"Honor 7C Blue (5.99"" FullView Display_ 64GB)",   12_999.00,https://www.amazon.in/Honor-Blue-5-99-FullView-Display/dp/B078BNWWFX
153,Lenovo Vibe K4 Note (Black_ 16GB),   10_999.00,https://www.amazon.in/Lenovo-Vibe-Note-Black-16GB/dp/B01A11D2U2
154,Oppo A5 (Diamond Blue_ 32GB) with Offer,   14_990.00,https://www.amazon.in/Oppo-A5-Diamond-Blue-Offer/dp/B07GSBWV2K
155,Lava Z61 (Gold_ Full View Display_ 1GB+16GB),   5_750.00,https://www.amazon.in/Lava-Z61-Gold-Full-Display/dp/B07FYCFCSS
156,Apple iPhone SE (Rose Gold_ 32GB),   21_999.00,https://www.amazon.in/Apple-iPhone-SE-Rose-Gold/dp/B06ZXWWD6R
157,Infocus IF9011 HERO Selfie C1 (Black),   678.00,https://www.amazon.in/Infocus-IF9011-HERO-Selfie-Black/dp/B074KDCTDR
158,Samsung Galaxy J2 Core SM-J260GZKDINS (Black) with Offers,   6_190.00,https://www.amazon.in/Samsung-Galaxy-SM-J260GZKDINS-Black-Offers/dp/B07GVXKVYN
159,OPPO A57 (Gold_ 3GB RAM_ 32GB) with Offers,   11_990.00,https://www.amazon.in/OPPO-A57-Gold-32GB-Offers/dp/B074182S5P
160,Intex Indie 15 (Black_ 16GB),   4_999.00,https://www.amazon.in/Intex-Indie-15-Black-16GB/dp/B07FH449BM
161,Apple iPhone 6S (Rose Gold_ 32GB),   31_350.00,https://www.amazon.in/Apple-iPhone-6S-Rose-Gold/dp/B01LXF3SP9
162,Samsung Guru FM Plus (SM-B110E/D_ White),   1_375.00,https://www.amazon.in/Samsung-Guru-Plus-SM-B110E-White/dp/B013UTLMNG
163,Samsung Galaxy J7 Duo (Black_ 32GB) with offers,   12_990.00,https://www.amazon.in/Samsung-Galaxy-J7-Duo-offers/dp/B07C336J43
164,IKALL K3310 (Black_ Upto 8GB),   499.00,https://www.amazon.in/IKALL-K3310-Black-Upto-8GB/dp/B075FR5DSG
165,Oppo A5 (Diamond Red_ 32GB) with Offer,   14_990.00,https://www.amazon.in/Oppo-A5-Diamond-32GB-Offer/dp/B07GSDM5XG
166,Huawei Nova 3 (Iris Purple_ 6GB RAM + 128GB Memory),   34_999.00,https://www.amazon.in/Huawei-Nova-Purple-128GB-Memory/dp/B07DJD1J69
167,OPPO A3s (Red_ 3GB RAM_ 32GB) with Offers,   12_990.00,https://www.amazon.in/OPPO-A3s-Red-32GB-Offers/dp/B07G4G9FDM
168,OnePlus 5T (Midnight Black 6GB RAM + 64GB Memory),Currently Unavailable,https://www.amazon.in/OnePlus-Midnight-Black-64GB-Memory/dp/B0756ZFXVB
169,Nokia 130 DS (Red),   1_599.00,https://www.amazon.in/Nokia-130-DS-Red/dp/B0753PRG1X
170,Nokia 8110 4G Dual Sim Yellow,   5_399.00,https://www.amazon.in/Nokia-8110-Dual-Sim-Yellow/dp/B07DN29WX8
171,Samsung Galaxy On7 Prime (Black_ 3GB RAM + 32GB Memory),   10_990.00,https://www.amazon.in/Samsung-Galaxy-Prime-Gold-Memory/dp/B0756VRJ1X
172,IKALL K16 New 1.8-inch Mobile(Dark Blue),   588.00,https://www.amazon.in/IKALL-K16-1-8-inch-Mobile-Dark/dp/B07D4GL728
173,Vivo Y71i (Matte Black) with Offers,   8_990.00,https://www.amazon.in/Vivo-Y71i-Matte-Black-Offers/dp/B07FSJPPGM
174,Vivo Y81 (Black_ 32GB) with Offers,   12_990.00,https://www.amazon.in/Vivo-Y81-Black-32GB-Offers/dp/B07G8GJRFD
175,Panasonic Eluga Pulse X EB-90S55EPXN (Gold_ 16GB),Currently Unavailable,https://www.amazon.in/Panasonic-Eluga-Pulse-EB-90S55EPXN-Gold/dp/B074X6F8BW
176,Samsung Galaxy On8 (Gold_ 3GB RAM) with offer,   10_990.00,https://www.amazon.in/Samsung-Galaxy-On8-Gold-offer/dp/B01M7MAM9Y
